,Cities,Cloudiness (%),Country,Date,Humidity (%),Latitude,Longitude,Max temp (F),Wind Speed (mph)
369,chapais,1,CA,2018-04-03,46,49.78,-74.86,10.4,3.36
370,general pico,0,AR,2018-04-03,73,-35.66,-63.75,76.7,9.64
371,altay,64,CN,2018-04-03,80,47.83,88.13,14.69,3.27
372,hammerfest,75,NO,2018-04-03,86,70.66,23.68,33.8,16.11
373,orapa,8,BW,2018-04-03,38,-21.28,25.37,76.7,9.64
374,rosedale,90,US,2018-04-03,87,39.32,-76.52,46.4,6.93
375,burgeo,0,CA,2018-04-03,100,47.61,-57.61,31.07,22.73
376,susanville,1,US,2018-04-03,38,40.42,-120.65,42.8,2.93
377,constantine,75,DZ,2018-04-03,72,36.36,6.61,62.6,3.36
378,belen,0,TR,2018-04-03,34,36.49,36.19,66.2,16.11
379,dibulla,75,CO,2018-04-03,74,11.27,-73.31,82.4,11.41
380,tutoia,40,BR,2018-04-03,66,-2.76,-42.27,89.6,11.41
381,wanaka,12,NZ,2018-04-03,55,-44.7,169.14,54.65,11.43
382,sanmenxia,68,CN,2018-04-03,52,34.77,111.19,50.87,11.77
383,taltal,0,CL,2018-04-03,70,-25.41,-70.49,66.98,3.15
384,kazalinsk,NA,NA,2018-04-03,NA,NA,NA,NA,NA
385,mouzouras,0,GR,2018-04-03,82,35.53,24.15,59,4.38
386,mogadishu,64,SO,2018-04-03,100,2.04,45.34,83.63,10.65
387,ilka,NA,NA,2018-04-03,NA,NA,NA,NA,NA
388,cherskiy,12,RU,2018-04-03,74,68.75,161.3,26.75,6.85
389,buinsk,20,RU,2018-04-03,95,54.97,48.29,33.41,12.55
390,rawson,0,AR,2018-04-03,33,-43.3,-65.11,80.84,7.96
391,carballo,40,ES,2018-04-03,71,43.21,-8.69,53.6,12.75
392,saint-francois,0,FR,2018-04-03,51,46.42,3.91,60.8,9.17
393,skelleftea,0,SE,2018-04-03,40,64.75,20.95,33.8,5.82
394,honiara,90,SB,2018-04-03,100,-9.43,159.96,75.2,1.7
395,nouakchott,76,MR,2018-04-03,94,18.08,-15.98,67.07,16.46
396,sinnamary,56,GF,2018-04-03,90,5.38,-52.96,82.01,8.97
397,derzhavinsk,0,KZ,2018-04-03,85,51.1,66.31,20.72,11.65
398,limoeiro do norte,20,BR,2018-04-03,63,-5.15,-38.1,90.2,5.61
399,rungata,NA,NA,2018-04-03,NA,NA,NA,NA,NA
400,araguaina,20,BR,2018-04-03,79,-7.19,-48.21,84.71,6.73
401,dhanbad,0,IN,2018-04-03,61,23.8,86.43,73.64,5.06
402,chaibasa,0,IN,2018-04-03,78,22.55,85.81,71.3,2.93
403,nea kallikratia,0,GR,2018-04-03,63,40.31,23.06,60.8,10.29
404,ahipara,12,NZ,2018-04-03,100,-35.17,173.16,54.11,1.7
405,severodvinsk,75,RU,2018-04-03,93,64.56,39.82,37.4,13.42
406,ulladulla,75,AU,2018-04-03,100,-35.36,150.48,60.8,1.92
407,sernovodsk,0,RU,2018-04-03,89,53.92,51.26,34.4,15.35
408,kumo,0,NG,2018-04-03,31,10.05,11.21,89.3,2.93
409,sansare,75,GT,2018-04-03,60,14.75,-90.12,71.6,13.87
410,japura,92,ID,2018-04-03,99,-0.42,102.29,74,2.15
411,akureyri,75,IS,2018-04-03,92,65.68,-18.09,28.4,5.82
412,yar-sale,64,RU,2018-04-03,72,66.83,70.83,1.37,12.66
413,batemans bay,20,AU,2018-04-03,100,-35.71,150.18,61.31,3.6
414,lamar,90,US,2018-04-03,17,38.09,-102.62,44.6,34.45
415,montorio al vomano,0,IT,2018-04-03,76,42.58,13.64,60.8,5.82
416,pedernales,36,EC,2018-04-03,95,0.07,-80.05,80.84,6.96
417,san francisco,1,US,2018-04-03,67,37.78,-122.42,60.8,4.7
418,santa marta,40,CO,2018-04-03,79,11.24,-74.21,84.2,6.93
419,san cristobal,75,EC,2018-04-03,55,-0.39,-78.55,64.4,11.41
420,nurota,0,UZ,2018-04-03,48,40.56,65.69,60.8,6.73
421,awbari,0,LY,2018-04-03,12,26.59,12.77,82.19,8.41
422,pisco,0,PE,2018-04-03,61,-13.71,-76.2,77,9.17
423,pendleton,20,US,2018-04-03,56,34.65,-82.78,73.4,4.7
424,sept-iles,90,CA,2018-04-03,68,50.2,-66.38,28.4,12.75
425,moree,0,AU,2018-04-03,70,-29.46,149.84,64.82,7.63
426,asosa,0,ET,2018-04-03,73,10.07,34.53,69.32,2.59
427,nouadhibou,44,MR,2018-04-03,73,20.93,-17.03,69.8,20.8
428,dicabisagan,92,PH,2018-04-03,100,17.08,122.42,73.1,4.16
429,walvis bay,75,NA,2018-04-03,60,-22.95,14.51,73.4,4.7
430,karratha,0,AU,2018-04-03,69,-20.74,116.85,81.47,8.63
431,albufeira,20,PT,2018-04-03,77,37.09,-8.25,62.6,17.22
432,lorengau,44,PG,2018-04-03,95,-2.02,147.27,83.99,11.99
433,myaundzha,56,RU,2018-04-03,89,63.05,147.18,17.21,6.29
434,chabahar,0,IR,2018-04-03,93,25.29,60.65,79.31,11.1
435,klaksvik,0,FO,2018-04-03,100,62.23,-6.59,32,6.93
436,biltine,0,TD,2018-04-03,19,14.53,20.93,80.48,8.19
437,chesterton,90,US,2018-04-03,100,41.61,-87.06,44.6,10.29
438,oshakati,68,NA,2018-04-03,70,-17.78,15.7,72.29,3.49
439,bulgan,48,MN,2018-04-03,65,48.81,103.53,25.85,3.83
440,nyurba,48,RU,2018-04-03,71,63.29,118.35,6.77,3.27
441,dingle,12,PH,2018-04-03,98,11,122.67,72.02,7.4
442,gagret,8,IN,2018-04-03,74,31.66,76.06,62.03,4.5
443,agadir,20,MA,2018-04-03,56,30.42,-9.58,69.8,10.29
444,norfolk,90,US,2018-04-03,71,36.85,-76.29,69.8,13
445,okakarara,92,NA,2018-04-03,41,-20.59,17.46,75.35,6.73
446,manoel urbano,32,BR,2018-04-03,91,-8.84,-69.26,80.39,2.71
447,hede,0,SE,2018-04-03,40,60.45,15.49,37.4,8.05
448,angoram,32,PG,2018-04-03,98,-4.06,144.07,75.08,0.81
449,gistel,75,BE,2018-04-03,81,51.15,2.96,55.4,6.93
450,zhuzhou,0,CN,2018-04-03,83,27.84,113.15,69.8,4.47
451,kibre mengist,80,ET,2018-04-03,75,5.87,38.99,65.99,4.72
452,tsumeb,88,NA,2018-04-03,53,-19.25,17.72,74.54,3.04
453,vicuna,NA,NA,2018-04-03,NA,NA,NA,NA,NA
454,severo-yeniseyskiy,64,RU,2018-04-03,73,60.37,93.04,13.61,7.63
455,luena,24,AO,2018-04-03,96,-11.78,19.91,65.18,2.59
456,gat,0,SN,2018-04-03,31,14.69,-16.54,88.67,11.65
457,dolbeau,NA,NA,2018-04-03,NA,NA,NA,NA,NA
458,bratsk,80,RU,2018-04-03,45,56.15,101.63,24.8,2.24
459,paratinga,40,BR,2018-04-03,41,-12.69,-43.18,93.2,6.93
460,laguna de duero,75,ES,2018-04-03,87,41.58,-4.72,46.4,19.46
461,bonfim,92,GY,2018-04-03,93,3.36,-59.84,77.15,8.75
462,tura,0,IN,2018-04-03,82,25.52,90.21,68.42,2.15
463,kananga,92,CD,2018-04-03,98,-5.9,22.41,68.51,3.04
464,palana,0,RU,2018-04-03,81,59.08,159.95,32.06,9.19
465,abu zabad,0,SD,2018-04-03,26,12.35,29.25,76.34,6.17
466,sindor,92,RU,2018-04-03,93,62.87,51.9,39.71,15.01
467,yerbogachen,0,RU,2018-04-03,72,61.28,108.01,8.3,2.59
468,hirara,88,JP,2018-04-03,100,24.8,125.28,73.01,13.78
469,nemuro,92,JP,2018-04-03,91,43.32,145.57,37.46,5.95
470,sao mateus,0,BR,2018-04-03,79,-18.72,-39.86,83.99,11.21
471,leshukonskoye,92,RU,2018-04-03,97,64.9,45.76,38.45,9.64
472,riviere-au-renard,75,CA,2018-04-03,32,49,-64.4,37.4,16.11
473,adrar,40,DZ,2018-04-03,15,27.87,-0.29,93.2,14.99
474,calvinia,68,ZA,2018-04-03,41,-31.47,19.78,71.57,4.83
475,pindiga,0,NG,2018-04-03,32,9.98,10.93,89.03,3.71
476,ust-nera,56,RU,2018-04-03,69,64.57,143.24,7.04,2.15
477,birao,0,CF,2018-04-03,17,10.3,22.78,85.79,9.75
478,mopti,8,ML,2018-04-03,22,14.49,-4.19,98.48,6.29
479,paradwip,NA,NA,2018-04-03,NA,NA,NA,NA,NA
480,zabid,44,YE,2018-04-03,31,14.2,44.5,59.6,3.15
481,coihaique,75,CL,2018-04-03,82,-45.58,-72.07,59,5.82
482,haapiti,75,PF,2018-04-03,74,-17.57,-149.87,78.8,2.24
483,durango,1,US,2018-04-03,17,37.28,-107.88,53.6,5.82
484,thunder bay,90,CA,2018-04-03,53,48.41,-89.26,23,6.93
485,tocopilla,0,CL,2018-04-03,99,-22.09,-70.2,67.34,5.84
486,krasnotorka,76,UA,2018-04-03,92,48.68,37.52,40.16,6.51
487,starkville,40,US,2018-04-03,57,33.45,-88.82,80.6,17.22
488,black river,20,JM,2018-04-03,69,18.03,-77.85,82.4,17.22
489,los llanos de aridane,20,ES,2018-04-03,64,28.66,-17.92,69.8,11.41
490,strezhevoy,0,RU,2018-04-03,71,60.73,77.6,3.2,4.47
491,miandrivazo,48,MG,2018-04-03,76,-19.53,45.46,75.71,2.93
492,voloshka,64,RU,2018-04-03,90,61.33,40.09,31.61,17.92
493,mwense,80,ZM,2018-04-03,81,-10.39,28.7,69.95,2.93
494,parlakimidi,0,IN,2018-04-03,100,18.77,84.08,71.39,0.81
495,zhigansk,0,RU,2018-04-03,60,66.77,123.37,-6.56,4.38
496,waipawa,0,NZ,2018-04-03,69,-39.94,176.59,61.67,16.02
497,margate,75,AU,2018-04-03,62,-43.03,147.26,57.2,1.12
498,puerto del rosario,40,ES,2018-04-03,72,28.5,-13.86,69.8,14.99
499,maceio,40,BR,2018-04-03,66,-9.67,-35.74,84.2,14.99
500,varzelandia,12,BR,2018-04-03,43,-15.7,-44.03,91.28,4.61
501,devils lake,1,US,2018-04-03,56,48.11,-98.87,15.8,10.29
502,siparia,40,TT,2018-04-03,55,10.14,-61.51,87.8,20.8
503,dakar,20,SN,2018-04-03,83,14.69,-17.45,71.6,9.17
504,lalmohan,12,BD,2018-04-03,80,22.34,90.74,78.32,7.74
505,new glasgow,48,CA,2018-04-03,51,45.59,-62.65,40.07,3.94
506,synya,92,RU,2018-04-03,96,65.37,58.04,35.48,13.11
507,shache,92,CN,2018-04-03,53,38.42,77.24,55.46,9.53
508,harqalah,0,SY,2018-04-03,24,35.96,38.95,60.95,8.97
509,muros,75,ES,2018-04-03,87,42.77,-9.06,48.2,14.99
510,radishchevo,56,RU,2018-04-03,89,52.85,47.87,35.75,13.22
511,chivolo,12,CO,2018-04-03,64,10.03,-74.62,90.65,6.17
512,benguela,20,AO,2018-04-03,74,-12.58,13.4,84.2,9.17
513,mananara,NA,NA,2018-04-03,NA,NA,NA,NA,NA
514,kieta,44,PG,2018-04-03,99,-6.22,155.63,78.41,7.07
515,mackay,75,CA,2018-04-03,56,53.65,-115.58,14,5.82
516,lompoc,90,US,2018-04-03,87,34.64,-120.46,57.2,3.36
517,saleaula,NA,NA,2018-04-03,NA,NA,NA,NA,NA
518,kuytun,68,RU,2018-04-03,66,54.34,101.51,13.79,2.37
519,mariakani,20,KE,2018-04-03,79,-3.87,39.47,84.2,4.7
520,san rafael,0,AR,2018-04-03,29,-34.61,-68.33,83.27,4.16
521,henties bay,68,NA,2018-04-03,91,-22.12,14.28,67.61,6.4
522,along,0,IN,2018-04-03,81,28.17,94.8,58.07,1.81
523,salihorsk,20,BY,2018-04-03,80,52.79,27.54,43.67,8.86
524,kavaratti,0,IN,2018-04-03,100,10.57,72.64,84.17,8.86
525,waddan,24,LY,2018-04-03,20,29.16,16.14,72.47,7.96
526,mangaluru,20,IN,2018-04-03,74,12.87,74.84,82.4,3.36
527,baillif,90,GP,2018-04-03,58,16.02,-61.75,86,12.75
528,natal,40,BR,2018-04-03,62,-5.81,-35.21,87.8,14.99
529,rheinau,0,DE,2018-04-03,42,48.87,8.19,66.2,5.82
530,majene,8,ID,2018-04-03,100,-3.54,118.97,81.83,2.71
531,san carlos de bariloche,75,AR,2018-04-03,59,-41.13,-71.31,60.8,18.34
532,makurdi,8,NG,2018-04-03,67,7.73,8.54,85.88,9.53
533,tres arroyos,0,AR,2018-04-03,49,-38.38,-60.28,78.14,10.31
534,veisiejai,75,LT,2018-04-03,61,54.1,23.7,50,8.95
535,tongzi,76,CN,2018-04-03,72,28.78,105.09,69.59,0.47
536,roebourne,0,AU,2018-04-03,69,-20.77,117.15,81.47,8.63
537,te anau,48,NZ,2018-04-03,90,-45.41,167.72,51.77,17.69
538,opuwo,88,NA,2018-04-03,98,-18.06,13.84,64.91,3.04
539,tomatlan,0,MX,2018-04-03,39,19.93,-105.25,84.44,3.49
540,gari,36,RU,2018-04-03,86,59.43,62.35,37.01,8.52
541,we,NA,NA,2018-04-03,NA,NA,NA,NA,NA
542,nioro,0,GM,2018-04-03,24,13.79,-15.05,99.11,5.61
543,deputatskiy,32,RU,2018-04-03,67,69.3,139.9,-1.79,2.59
544,lashma,8,RU,2018-04-03,91,54.93,41.14,31.79,8.19
545,charters towers,88,AU,2018-04-03,82,-20.07,146.27,69.86,14.9
546,launceston,0,AU,2018-04-03,100,-41.43,147.14,46.4,10.29
547,dubbo,0,AU,2018-04-03,77,-32.25,148.6,64.4,12.75
548,cap malheureux,90,MU,2018-04-03,78,-19.98,57.61,82.4,10.29
549,shimoda,0,JP,2018-04-03,98,34.7,138.93,65.18,15.68
550,green river,1,US,2018-04-03,35,41.53,-109.47,23,12.75
551,toging,NA,NA,2018-04-03,NA,NA,NA,NA,NA
552,vondrozo,100,MG,2018-04-03,99,-22.82,47.32,69.59,3.38
553,nizhneyansk,NA,NA,2018-04-03,NA,NA,NA,NA,NA
554,savelugu,32,GH,2018-04-03,87,9.63,-0.83,76.25,5.61
555,urengoy,32,RU,2018-04-03,68,65.96,78.37,-9.26,4.72
556,kaeo,12,NZ,2018-04-03,85,-35.1,173.78,49.25,2.71
557,nuuk,40,GL,2018-04-03,55,64.17,-51.74,35.6,10.29
558,cairns,0,AU,2018-04-03,83,-16.92,145.77,73.4,4.7
559,kaspiyskiy,88,RU,2018-04-03,74,45.39,47.37,50.6,12.44
560,matrei,NA,NA,2018-04-03,NA,NA,NA,NA,NA
561,ust-tsilma,92,RU,2018-04-03,96,65.44,52.15,37.82,9.42
562,kegayli,NA,NA,2018-04-03,NA,NA,NA,NA,NA
563,hasaki,0,JP,2018-04-03,100,35.73,140.83,55.4,2.24
564,aripuana,56,BR,2018-04-03,79,-9.17,-60.63,83.45,2.93
565,muana,64,BR,2018-04-03,93,-1.53,-49.22,81.29,2.93
566,khonuu,NA,NA,2018-04-03,NA,NA,NA,NA,NA
567,tamandare,75,BR,2018-04-03,88,-8.28,-70.75,78.8,8.05
568,xining,20,CN,2018-04-03,72,36.62,101.77,29.81,2.37
569,chesma,0,RU,2018-04-03,89,53.81,60.65,28.37,10.76
570,padang,32,ID,2018-04-03,100,-0.92,100.36,81.92,1.48
571,novoagansk,8,RU,2018-04-03,78,61.94,76.66,7.49,7.18
572,ballina,90,IE,2018-04-03,100,54.11,-9.15,42.8,6.93
573,kamaishi,0,JP,2018-04-03,81,39.28,141.86,50.06,3.04
574,tingo maria,40,PE,2018-04-03,69,-9.29,-76.01,82.4,4.7
575,police,0,PL,2018-04-03,62,53.55,14.57,59,3.36
576,strzelin,0,PL,2018-04-03,42,50.78,17.07,64.4,3.36
577,port hedland,0,AU,2018-04-03,83,-20.31,118.58,80.6,4.7
578,vysokogornyy,76,RU,2018-04-03,57,50.1,139.13,18.02,11.88
579,olafsvik,NA,NA,2018-04-03,NA,NA,NA,NA,NA
580,brentwood,90,US,2018-04-03,60,36.03,-86.78,73.4,18.34
581,yuzhno-yeniseyskiy,NA,NA,2018-04-03,NA,NA,NA,NA,NA
582,prado,0,BR,2018-04-03,92,-17.34,-39.22,81.47,11.1
583,samsun,40,TR,2018-04-03,66,41.29,36.33,50,1.48
584,tabiauea,NA,NA,2018-04-03,NA,NA,NA,NA,NA
585,phan thiet,56,VN,2018-04-03,95,10.93,108.1,76.61,13
586,skjervoy,90,NO,2018-04-03,80,70.03,20.97,33.8,10.29
587,roald,0,NO,2018-04-03,55,62.58,6.12,39.2,10.29
588,pochutla,5,MX,2018-04-03,99,15.74,-96.47,87.8,17.22
589,colares,75,PT,2018-04-03,82,38.8,-9.45,60.8,23.04
590,acarau,NA,NA,2018-04-03,NA,NA,NA,NA,NA
591,peleduy,80,RU,2018-04-03,78,59.63,112.75,15.41,3.71
592,spenge,0,DE,2018-04-03,48,52.14,8.48,62.6,8.05
593,meyungs,NA,NA,2018-04-03,NA,NA,NA,NA,NA
594,barranquilla,40,CO,2018-04-03,66,10.98,-74.8,86,9.17
595,nguiu,NA,NA,2018-04-03,NA,NA,NA,NA,NA
596,zapotiltic,5,MX,2018-04-03,18,19.63,-103.42,84.2,6.93
597,qasigiannguit,20,GL,2018-04-03,78,68.82,-51.19,15.8,1.12
598,wakkanai,68,JP,2018-04-03,100,45.41,141.67,37.91,29.55
599,mizdah,32,LY,2018-04-03,25,31.45,12.98,73.55,11.1
600,luangwa,32,MZ,2018-04-03,51,-15.62,30.4,82.55,6.62
601,eureka,1,US,2018-04-03,81,40.8,-124.16,50,6.93
